step,model,entropy,expected_J,optimality_gap,regret,stability_tv,infeasible_mass,expected_x_cost,expected_y_flexibility
0,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
1,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
2,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
3,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
4,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
5,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
6,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
7,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
8,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
9,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
10,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
11,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
12,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
13,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
14,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
15,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
16,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
17,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
18,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
19,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
20,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
21,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
22,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
23,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
24,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
25,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
26,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
27,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
28,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
29,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
30,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
31,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
32,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
33,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
34,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
35,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
36,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
37,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
38,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
39,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
40,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
41,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
42,Static recommender,3.9901288987707706,0.011855135609553258,0.011855135609553258,0.0022763275345427177,0.0,4.7140435516152943e-42,0.023621354683841377,0.7246376811594203
