diffusion,drift_scale,delta_feasibility,delta_entropy,feasibility_gain_per_entropy_cost,base_feasibility,llm_feasibility,base_entropy,llm_entropy
0.00018,0.08,0.21985214707716394,-2.6083824698806577,0.08428677527768334,0.7801035276197671,0.999955674696931,7.26528910706195,4.656906637181292
0.00018,0.16,0.15321668458961668,-3.150958906742721,0.04862541503213528,0.8466723660688968,0.9998890506585135,7.266782580731626,4.115823673988905
0.00018,0.24,0.10113972998009924,-3.378738604147662,0.029934168288695814,0.8986973952314138,0.999837125211513,7.265639846876706,3.886901242729044
0.00018,0.32,0.06309355566600561,-3.4001205133242145,0.01855627040828092,0.9366970212400323,0.9997905769060379,7.261954458722566,3.8618339453983515
0.00042,0.08,0.22200624867191432,-2.512408210315015,0.08836392420640514,0.7779437828699167,0.999950031541831,7.277699231412731,4.765291021097716
0.00042,0.16,0.1554082268731366,-2.8118531625226098,0.05526896956939931,0.8444803601250446,0.9998885869981812,7.2792411133356385,4.467387950813029
0.00042,0.24,0.1030976077256529,-3.250417584498738,0.031718265436814747,0.8967199196062136,0.9998175273318665,7.278137956133636,4.027720371634898
0.00042,0.32,0.0646901005420305,-3.400965253826311,0.019021100103634062,0.9350739587163936,0.9997640592584242,7.27453574825258,3.873570494426269
0.0008,0.08,0.22541266022456063,-2.451276021850628,0.09195727376890424,0.7745268267685286,0.9999394869930892,7.297459258272726,4.846183236422098
0.0008,0.16,0.15884717878529087,-2.627318243477296,0.06045981646098332,0.841042723290521,0.9998899020758119,7.298839481378192,4.671521237900896
0.0008,0.24,0.106219917147094,-2.864502496204949,0.037081453860760435,0.8935954512722744,0.9998153684193684,7.2977542523644585,4.4332517561595095
0.0008,0.32,0.06724654664725582,-3.2708010383624453,0.020559656750293444,0.9324781665016701,0.999724713148926,7.294241529762152,4.023440491399707
0.0011,0.08,0.22809803374550353,-2.461986883317568,0.09264794840744439,0.7718307794168305,0.9999288131623341,7.313195142351585,4.851208259034017
0.0011,0.16,0.16153872414006554,-2.5489832165277733,0.06337378884748025,0.8383511768784795,0.999889901018545,7.314199260045614,4.765216043517841
0.0011,0.24,0.10868931043819952,-2.7389369965676513,0.039683026872967805,0.891131176433674,0.9998204868718735,7.3131183021907,4.574181305623049
0.0011,0.32,0.06931857480186865,-2.978549395082946,0.02327259535003112,0.9304101032211548,0.9997286780230235,7.309628827327615,4.331079432244669
